sentence,tags,lem
فقال له : افندم ، هذا تجلى من طرف البارى .,verb prep punc noun_prop punc pron_dem verb prep noun noun_prop punc,قال لِ : أَفَنْدِم ، هٰذا تَجَلَّى مِن طَرَف بارِي .
وهم بذلك الكلام ، ومقبل رجل من بين الخيام ، وهو عمال يبكى وينوح ، الى ان وصل الى قدام الملك .,pron pron_dem noun punc adj noun prep noun noun punc pron noun verb verb punc prep conj_sub verb prep noun noun punc,هُم ذٰلِكَ كَلام ، مُقْبِل رَجُل مِن بَيِّن خَيْمَة ، هُوَ عامِل بَكَى ناح ، إِلَى أَنَّ وَصَل إِلَى قُدّام مَلِك .
فقال له الملك : ما دهاك ؟,verb prep noun punc pron_rel verb punc,قال لِ مَلِك : ما دَهَى ؟
قال له : افندم ، يسلم راسك بسيف الدين عرنوس واولاد ملوك البردقان ، ومن كان عندهم من الأنفار .,verb prep punc noun_prop punc verb noun noun_prop noun noun noun noun noun punc prep verb noun prep noun punc,قال لِ : أَفَنْدِم ، سَلَّم رَأْس سَيْف دِين عِرْناس وَلَد مَلِك بُرْتُقال ، مِن كان عِنْد مِن نَفَر .
فصرخ الملك : آه ، يا خاين ، على هذه البشاره !,verb noun punc verb punc part_voc noun_prop punc prep pron_dem noun punc,صَرَخ مَلِك : آه ، يا خاين ، عَلَى هٰذا بِشارَة !
وطسه * بالحسام على هامه ، حط راسه قدامه .,noun_prop punc noun_prop prep adj punc verb noun noun punc,وطسه * حُسام عَلَى هامّ ، حَطّ رَأْس قُدّام .
وما كان ذلك الرجل الا نصرانى ، ارسله جوان حتى يقهر الملك ، لأنه لما دخل على صور صاروا البطارقه والوزر يهنوه بقتل عرنوس .,pron_rel verb pron_dem noun part verb punc verb noun_prop prep verb noun punc conj_sub pron_rel verb prep noun_prop verb noun noun verb noun noun punc,ما كان ذٰلِكَ رَجُل إِلّا نَصَر ، أَرْسَل جُوان حَتَّى قَهَر مَلِك ، أَنَّ ما دَخَل عَلَى صُور صار بِطْرِيق وِزْر أَهان قَتْل عِرْناس .
ثم تقدم ذلك البطريق * ، وقال له : ابونا * ، قتلتم الديابره * وما حسبتم حساب الرين * والسراقين * ؟,adv verb pron_dem noun punc punc verb prep punc noun punc punc verb noun_prop punc pron_rel verb noun noun_prop punc noun punc punc,ثُمَّ تَقَدَّم ذٰلِكَ بِطْرِيق * ، قال لِ : أَب * ، قَتَل الديابره * ما حَسِب حِساب الرين * سَرّاق * ؟
قال له جوان : لو كنا حاسبين حسابهم ما كنا قتلناه ، ولكن بريد منك ان تروح تلبس بصفة عشى * مسلم وتمضى الى عرضى * المسلمين ، وتبشر الرين بقتل الديابره ، فأنه حالاً بتفقع مرارته وبصير مورته * .,verb prep noun_prop punc conj verb noun noun pron_rel verb verb punc conj noun prep conj_sub verb noun noun noun punc noun verb prep noun punc adj punc verb noun_prop noun noun_prop punc conj_sub noun noun_prop noun noun noun_prop punc punc,قال لِ جُوان : لَو كان حاسِب حِساب ما كان قَتَل ، لٰكِن بَرِيد مِن أَنَّ راح تَلَبُّس صِفَة عُشّ * مُسْلِم مَضَى إِلَى عَرْض * مُسْلِم ، بَشَّر الرين قَتْل الديابره ، أَنَّ حال بتفقع مَرارَة بَصِير مورته * .
فأذا رحت وجيت بشرتنى بموت الرين ، بعطيك فدان تفلح وتزرع بجنة الحمرا تحت بيضات اصفوت ¤ ، ولا تحط لا مكس ولا موجب .,conj verb noun_prop verb noun noun_prop punc noun_prop noun verb verb noun noun_prop noun noun noun_prop punc punc part_neg verb part_neg verb part_neg noun punc,إِذا راح جيت بَشَّر مَوْت الرين ، بعطيك فَدّان أَفْلَح زَرَع جَنَّة الحمرا تَحْتَ بَيْض اصفوت ¤ ، لا أَحاط لا مَكَس لا مُوجِب .
ففرح البطريق بذلك وطلع يركد * ، وراح تنكر بصفة عشى ، ولاقا الى الملك وبشره ذلك البشاره .,noun_prop noun pron_dem verb verb punc punc verb verb noun noun punc verb prep noun noun pron_dem noun punc,فَرَح بِطْرِيق ذٰلِكَ طَلَع رَكَد * ، راح أَنْكَر صِفَة عُشّ ، لاق إِلَى مَلِك شَرّ ذٰلِكَ بِشارَة .
فأعطاه طوق احمر ، وتركه ممدد على الحجر ، وصار يبكى وينشد ويقول : خبر قبيح ادار السقم فى جسدى والنار اضرمت بالأحشاء والكبدى ولا لى معين من سقمى يخلصنى قد عز صبرى ووها القضا جلدى وفجعت بفتى قد كان لى سندا فخاننى الدهر فى ركنى وفى سندى فقد كان يفنى العدا فى كل معركة ويفلق الهام مع الأضلاع والزردى جودى عليه يا عيونى بالدموع دما فيحق لعينى عليه بلبكا تجدى عرنوس لقد اقفرت منازلنا وغابت الشمس لما غبت يا ولدى قد كان ظنى ان تبقا لى ابدا فخاب ظنى وكان الأمر للصمدى يا رب صلى على المختار من مضر صلاة مستمرة ما لها عددى ولما فرغ من ذلك النظام ، وقع بين الخيام ، ولا عاد وعى على الأنام .,verb noun noun punc noun adj prep noun punc verb verb verb verb punc noun adj verb noun prep noun noun verb noun noun_prop part_neg prep adj prep noun verb part_verb noun_prop noun noun_prop noun_prop noun verb noun part_verb verb prep noun verb noun prep noun verb noun part_verb verb verb noun_prop prep noun noun verb noun_prop prep noun noun_prop noun_prop prep part_voc noun noun noun verb noun prep noun_prop verb noun part_verb verb noun verb noun pron_rel verb part_voc noun part_verb verb noun conj_sub verb prep noun verb noun verb noun noun_prop part_voc noun verb prep noun_prop prep adj noun adj pron_rel prep noun conj verb prep pron_dem noun punc verb noun noun punc part_neg verb verb prep noun punc,أَعْطَى طَوْق أَحْمَر ، تَرْك مُمَدَّد عَلَى حَجَر ، صار بَكَى نَشَد قال : خَبَر قَبِيح أَدار سُقْم فِي جَسَد نار أَضْرَم حَشَى والكبدي لا لِ مُعَيَّن مِن سُقْم خَلَّص قَدْ عِزّ صَبْر ووها القضا جَلْد فَجَع فَتَى قَدْ كان لِ سَنَد خان دَهْر فِي رُكْن وَفَى سَنَد قَدْ كان فَنِي العدا فِي كُلّ مَعْرَكَة فَلَق إِلْهام مَع ضِلْع والزردي جودي عَلَى يا عَيْن دَمْع دَم حَقّ عَيْن عَلَى بلبكا وَجَد عِرْناس قَدْ أَقْفَر مَنْزِل غاب شَمْس ما غاب يا لَدَى قَدْ كان ظَنّ أَنَّ بَقّ لِ أَبَد خاب ظَنّ كان أَمْر للصمدي يا رَبّ صَلَّى عَلَى مُخْتار مِن مُضِرّ صَلاة مُسْتَمِرّ ما لِ عَدَد لَمّا فَرَّغ مِن ذٰلِكَ نِظام ، وَقَع بَيِّن خَيْمَة ، لا عاد وَعَى عَلَى آنام .
فركدوا الوزر صحوه وسندوه الى ان اوصلوه للصيوان * .,verb noun noun verb prep conj_sub verb noun punc punc,رَكَد وِزْر صَحْوَة دَوَّى إِلَى أَنَّ أَوْصَل صِيوان * .
فلما وصل ، لقا عرنوس جثه بلا راس ، والجماعه حوله شهدا ، فالتحش * [ عليه وصرخ : واولداه !,conj verb punc noun_prop noun noun prep noun punc noun noun verb punc noun_prop punc punc prep verb punc noun_prop punc,لَمّا وَصَل ، لقا عِرْناس جُثَّة بِلا رَأْس ، جَماعَة حَوْل شَهِد ، فالتحش * [ عَلَى صَرَخ : واولداه !
واقره عيناه !,verb noun punc,أَقَرّ عَيْن !
وانشد وجعل يقول : دعوني على الأحباب ابكي وأندب ففي القلب نيران الفراق وتلهب ولا تعتبوا ان جرت أدمعي دماً فليس لصب فارق الولف معتب لقد احرق التفريق مهجة قلبي فمن أجله دمعي على الخد يسكب أحبابنا ما باختياري فراقكم ولكن قضاء الله ما منه مهرب وما كان ظني أن يفرق الدهر بيننا وسرعه هذا البين ما كنت احسب أجول بطرفي بعدكم في دياركم فارجع والنيران في قلبي تلهب ولما فرغ من كلامه ، خر مغشياً عليه .,verb verb verb punc verb prep noun verb verb prep noun noun noun verb part_neg verb conj_sub verb noun_prop noun verb verb noun noun_prop noun_prop part_verb verb noun noun noun prep noun noun prep noun verb noun pron_rel noun noun conj noun noun_prop pron_rel prep noun pron_rel verb noun conj_sub verb noun noun noun pron_dem noun pron_rel verb verb verb noun noun prep noun verb noun prep noun verb conj verb prep noun punc noun noun prep punc,أَنْشَد جَعَل قال : دَعا عَلَى حَبِيب بَكَى نَدِب فِي قَلْب نار فِراق تَلَهَّب لا عَتَب أَنَّ جَرَى ادمعي دَم لَيِس صَبّ فارِق الولف معتب قَدْ أَحْرَق تَفْرِيق مُهْجَة قَلْب مِن أَجْل دَمْع عَلَى خَدّ سَكَب حَبِيب ما ٱِخْتِيار راق لٰكِن قَضاء اللَّه ما مِن مُهَرَّب ما كان ظَنّ أَنَّ فَرَّق دَهْر بَيِّن سُرْعَة هٰذا بَيِّن ما كان حَسِب جال طَرَف بُعْد فِي دار رَجَع نار فِي قَلْب تَلَهَّب لَمّا فَرَّغ مِن كَلام ، خَرّ مَغْشَى عَلَى .
فركدوا الوزر جابوا له ماء ، وصاروا يرشوا على وجهه الى أن صحي .,verb noun verb prep noun punc verb verb prep noun prep conj_sub adj punc,رَكَد وِزْر جاب لِ ماء ، صار رَشّ عَلَى وَجْه إِلَى أَنَّ صِحِّيّ .
وبذلك الساعة وصلت عسكر الإسلام وقدامهم عسكر مدينة الرخام ، ويقدمهم اسماعيل أبو السباع ¤ ونصير ¤ وهدير الرعود ، ولما نظروا عرنوس شهيد ، أول من التحش عليه نصير النمر وجعل يقول : مهامي دموعي كالسحاب تهمع وقلبي من فراق الأحبة يفزع وأظلمت الدنيا بعيني وزادت حسرتي وكاد فؤادي بالجوى يتقطع ] لفقد عرنوس احرق البين مهجتى وغاب صوابى لما عاينته مضجعُ لقد كان فى بحر المعامع صائلا يزلزل اركان العدا ويضعضع وقد كان مقدام الفوارس كلها بكل مكان للأعادى مقمع لحا الله ايامًا تراه مقلتى طريحًا وعينى بالدموع تهمعُ يعز علينا ان نراك معفرًا وراسك من فوق الجنادل مرفع الا لعن الله جوان وقومه واخزاه مع كل قوم لئام تجمع وعند فراغه من ذلك الأبيات ، وقع مغشيًا عليه فتقدموا الرجال صحوه .,pron_dem noun verb noun_prop noun_prop noun noun_prop noun noun punc verb noun_prop noun_prop noun punc verb punc noun noun punc conj verb noun noun punc adj prep noun_prop prep verb noun verb verb punc noun noun noun_prop verb noun prep noun noun verb verb noun noun verb noun verb noun adj verb punc verb noun verb noun noun verb noun pron_rel verb noun part_verb verb prep noun noun noun_prop verb noun noun_prop verb part_verb verb noun noun noun noun noun noun noun_prop verb noun_prop noun verb noun adj noun noun verb verb prep conj_sub verb adj noun prep noun noun noun_prop part verb noun_prop noun_prop noun adj prep noun noun noun verb noun noun prep pron_dem noun punc verb noun prep verb noun noun punc,ذٰلِكَ ساعَة وَصَل عَسْكَر إِسْلام قُدّام عَسْكَر مَدِينَة رُخام ، قَدَّم إِسْماعِيل أَبُو سَبْع ¤ صار ¤ هَدِير رَعْد ، لَمّا نَظَر عِرْناس شَهِيد ، أَوَّل مِن التحش عَلَى صار نَمِر جَعَل قال : مَهَمَّة دَمْع سَحاب تَهَمَّع قَلْب مِن راق حَبِيب فَزِع أَظْلَم دُنْيا عَيْن زاد حَسْرَة كاد فُؤاد جَوِّيّ تَقَطَّع ] فَقَد عِرْناس أَحْرَق بَيِّن مُهْجَة غاب صَواب ما عايَن مَضْجَع قَدْ كان فِي بَحْر مَعامِع صائلا زَلْزَل رُكْن العدا ضَعْضَع قَدْ كان مِقْدام فارِس كُلّ كُلّ مَكان عَدُوّ مقمع لَحا اللَّه يَوْم راوَنْد مُقِلّ طَرِيح عَيْن دَمْع تَهَمَّع عَزا عَلَى أَنَّ راوَنْد مُعَفَّر رَأْس مِن فَوْق جَنْدَل مَرْفَع إِلّا لَعَن اللَّه جُوان قَوْم واخِز مَع كُلّ قَوْم لَئِيم جَمَع عِنْد فَراغ مِن ذٰلِكَ بَيْت ، وَقَع مَغْشَى عَلَى قَدَّم رَجُل صَحْوَة .
كان يلتحش عليه اسماعيل ابو السباع عمه ، فعدد وناح ورما الشد من على راسه ، وكاد ان يقتل نفسه ، واشار يرثيه ويقول : يا عين جودى بدمع صبيبى ثم اندبى على فقد الحبيبى وانعى مقتولاً قد غدا مجندلاً بالفلا وسط الفيافى غريبى وابكى يا عين ولا تغفلى فأمره والله امرًا عجيبى قد كان لا يفتكر بجمع العدا اذا سل الغضب القضيبى وتختشى الأعداء من بأسه لو انهم اعداد رمل كثيبى فيا حمام الأيك نوحى ابدا على فتى قد كان غصنا رطيبى واخبرى المسلمين بما جرى لعلهم يبكوا عليه بدمع صبيبى واخبرى البلدان من بعده بأن عرنوس اضحى سليبى واندبى الأمر من بعده وكل قرم بالمعامع مصيبى فلا يلتقى رومان خيرا ولا اجناده الأندال اهل الصليبى قد اكمنوا لنا جيشًا عامدًا يوم الوغا من كل كلب مريبى وحق من اعطا لنا نصره بكل وقت ثم فتح قريبى لنأخذن الثار منهم جهرًا ونطفى حر نار اللهيبى ولما فرغ اسماعيل من كلامه ، مزقت الفداويه الثياب ، وعضت على الأنياب ، ورموا الشدود ، وتعصبوا بعصايب السود ، واشتغل البكا والنحيب ، على فراق الحبيب .,verb noun_prop prep noun_prop noun_prop noun noun punc verb noun noun noun prep prep noun punc verb conj_sub verb noun punc verb verb verb punc part_voc noun_prop noun_prop noun noun adv noun_prop prep part_verb adj verb adj part_verb noun noun_prop noun noun noun adj verb part_voc noun_prop part_neg verb noun noun_prop noun adj part_verb verb part_neg verb noun noun_prop conj noun noun noun_prop verb noun prep noun conj conj_sub noun noun noun verb noun_prop noun verb noun prep noun part_verb verb noun adj noun_prop adj pron_rel verb verb_pseudo verb prep noun noun noun_prop noun prep noun conj_sub noun verb adj noun_prop noun prep noun noun noun noun noun_prop part_neg verb noun_prop noun part_neg noun noun_prop noun adj part_verb noun_prop prep noun noun noun noun_prop prep noun noun adj noun prep noun_prop prep noun noun noun adv noun adj noun_prop noun prep noun noun adj noun noun_prop conj verb noun_prop prep noun punc verb noun_prop noun punc verb prep noun punc verb noun_prop punc verb noun_prop noun punc verb noun_prop noun punc prep noun noun_prop punc,كان يلتحش عَلَى إِسْماعِيل أَبُو سَبْع عَمّ ، عَدَّد ناحِي وَرَم شَدّ مِن عَلَى رَأْس ، كاد أَنَّ قَتَل نَفْس ، أَشار رَثَى قال : يا عَيْن جودي دَمْع صَبِيب ثُمَّ اندبي عَلَى قَدْ حُبَيْبِيّ نَعَى مَقْتُول قَدْ غَد مجندلا فَل وَسْط فَيْفاء غَرِيب بَكَى يا عَيْن لا أَغْفَل أَمَرّ اللَّه أَمْر عَجِيب قَدْ كان لا ٱِفْتَكَر جَمْع العدا إِذا سَلّ غَضَب القضيبي ٱِخْتَشَى عَدُوّ مِن بَأْس لَو أَنَّ إِعْداد رَمْل كَثِيب فَيَّأ حَمام أَلاي أَوْحَى أَبَد عَلَى فَتَى قَدْ كان غُصْن رَطِيب واخبري مُسْلِم ما جَرَى لَعَلَّ بَكَى عَلَى دَمْع صَبِيب واخبري بَلَد مِن بُعْد أَنَّ عِرْناس أَضْحَى سَلِيب واندبي أَمْر مِن بُعْد كُلّ قَرْم مَعامِع مصيبي لا ٱِلْتَقَى رُومان خَيْر لا جُنْدِيّ الاندال أَهْل صَلِيبِيّ قَدْ اكمنوا لِ جَيْش عامِد يَوْم الوغا مِن كُلّ كَلْب مُرِيب حَقّ مِن اعطا لِ نَصْر كُلّ وَقْت ثُمَّ فَتْح قَرِيب لناخذن ثَأْر مِن جَهْر نُطْفَة حُرّ نار اللهيبي لَمّا فَرَّغ إِسْماعِيل مِن كَلام ، مَزَّق الفداويه ثَوْب ، عَضّ عَلَى ناب ، رَمَى الشدود ، تَعَصَّب بعصايب أَسْوَد ، ٱِشْتَغَل البكا نَحِيب ، عَلَى راق حَبِيب .
ولا زالوا فى بكا ونواح طول ذلك الليله الى ان بدت غرة الصباح .,part_neg verb prep noun_prop noun noun pron_dem noun prep conj_sub verb noun noun punc,لا زال فِي بَك ناحِيَة طُول ذٰلِكَ لَيْلَة إِلَى أَنَّ بَدا أَغَرّ صَباح .
وكان اكثرهم حزنًا على عرنوس اولاد عمه ونصير وهدير الرعود ويعقوب ، فأنهم فتتوا الكبود ، وكل منهم عليه فى البكا يجود .,verb adj noun prep noun noun noun verb noun noun noun_prop punc conj_sub verb noun punc noun prep prep prep noun_prop verb punc,كان أَكْثَر حُزْن عَلَى عِرْناس وَلَد عَمّ صار هَدِير رَعْد يَعْقُوب ، أَنَّ فَتَّت كَبِد ، كُلّ مِن عَلَى فِي البكا جاد .
ولما تضاحا النهار ، تقدم الوزير الأعظم الى قدام الملك ، وقال له : امان افندم ، ما الفائده بهذا العمل ؟,conj noun_prop noun_prop punc verb noun noun prep noun noun punc verb prep punc noun noun_prop punc pron_rel noun pron_dem noun punc,لَمّا تضاحا نَهار ، تَقَدَّم وَزِير أَعْظَم إِلَى قُدّام مَلِك ، قال لِ : أَمان أَفَنْدِم ، ما فائِدَة هٰذا عَمَل ؟
وهذا يومه الذى وعده الله فيه ، وكل منا على هذا الدرب ، واكرام الميت تذهيبه .,pron_dem noun pron_rel noun noun_prop prep punc noun prep prep pron_dem noun punc noun noun noun_prop punc,هٰذا يَوْم الَّذِي وَعْد اللَّه فِي ، كُلّ مِن عَلَى هٰذا دَرْب ، إِكْرام مَيِّت تذهيبه .
فقال له الملك : يا ابو الوزر ، وحيات راسى ، لا بد عن قتل رومان وجوان والملوك الذى معه بأى وقت كان ، ولو احتموا عند القيصر صفرين باشقران * .,verb prep noun punc part_voc noun_prop noun punc noun noun punc part_neg noun prep verb noun_prop noun_prop noun pron_rel prep noun_quant noun verb punc conj verb noun noun_prop noun noun_prop punc punc,قال لِ مَلِك : يا أَبُو وِزْر ، حَيَّة رَأْس ، لا بُدّ عَن قَتَل رُومان جُوان مَلِك الَّذِي مَع أَيّ وَقْت كان ، لَو ٱِحْتَمَى عِنْد قَيْصَر صِفْر باشقران * .
فتقدم ابراهيم ودموعه عمال تجرى كالرميم ، وقال له : افندم ، وعزيز حياتك ، لا بد عن قتلهم .,verb noun_prop noun noun verb adj punc verb prep punc noun_prop punc noun_prop noun punc part_neg noun prep verb punc,قَدَّم إِبْراهِيم دَمْع عامِل أَجْرَى رَمِيم ، قال لِ : أَفَنْدِم ، عَزِيز حَياة ، لا بُدّ عَن قَتَل .
والبقيه بحياتك ، ولكن من صبر وتأنى ، نال ما يتمنا .,noun noun punc conj prep noun noun punc verb pron_rel verb punc,بَقِيَّة حَياة ، لٰكِن مِن صَبْر تَأَنِّي ، نال ما تَمّ .
فقال الملك : يا حاج شاهين ، ساوى تخوت وحط فيهم جثث الشهدا ، واركب بجملة عسكر وروح وديهم على الشام وادفنهم هناك .,verb noun punc part_voc noun_prop noun_prop punc verb noun verb prep noun noun_prop punc verb noun noun_prop noun adj prep noun_prop verb adv punc,قال مَلِك : يا حاجّ شاهِين ، ساوَى تَخْت حَطّ فِي جُثَّة الشهدا ، رَكَّب جُمْلَة عَسْكَر رُوح وُدِّيّ عَلَى شام دَفَن هُناكَ .
ولما نخلص الروس من يد الأعداء ، تبقا نبعثهم الى عند الجثث .,conj verb noun_prop prep noun noun punc verb verb prep noun noun punc,لَمّا خَلَص رُوسِيّ مِن يَد عَدُوّ ، بَقّ بَعَث إِلَى عِنْد جُثَّة .
فأمر الوزير الى النجارين ان ينجروا لهم تخوت ، ولما خلصوا حطوا الشهدا فيهم .,noun noun prep noun conj_sub verb prep noun punc conj verb verb noun_prop prep punc,أَمَرّ وَزِير إِلَى نَجّار أَنَّ ٱِنْجَرّ لِ تَخْت ، لَمّا خَلَص حَطّ الشهدا فِي .
وركب الوزير بالف نفر ، وسار طالب الشام ، ولما يصل يواريهم ترابهم .,noun noun noun verb punc verb verb noun_prop punc conj verb verb noun punc,رُكْبَة وَزِير إِلْف فَرّ ، راوَنْد طالَب شام ، لَمّا وَصَل وارَى تُراب .
له معنا كلام .,prep prep noun punc,لِ مَع كَلام .
والملك قعد ثلاثة ايام حتى هدى روعه ، وضرب ديوان بالخاص والعام .,noun verb adj noun prep noun noun punc noun noun adj adj punc,مَلِك قَعَد ثَلاث يَوْم حَتَّى هَدْي رَوْعَة ، ضَرْب دِيوان خاصّ عامّ .
فقالوا اولاد عرنوس : الثار يا ملك الزمان !,verb noun noun punc noun part_voc noun noun punc,قال وَلَد عِرْناس : ثَأْر يا مَلِك زَمان !
فقال لهم الملك : والله ، يا اولادى ، انا مانى * قاعد عن اخذ الثار .,verb prep noun punc noun_prop punc part_voc noun punc pron noun punc noun prep verb noun punc,قال لِ مَلِك : اللَّه ، يا وَلَد ، أَنا مَأْن * قاعِد عَن أَخَذ ثَأْر .
والتفت الى الفداويه ، وقال : ايه ، يا رجال ، هذه مدينة صور حاصرت ، قوموا اعملوا لنا همة على فتوحها .,verb prep noun_prop punc verb punc abbrev punc part_voc noun punc pron_dem noun noun_prop verb punc verb verb prep noun prep noun punc,ٱِلْتَفَت إِلَى الفداويه ، قال : إِيه ، يا رَجُل ، هٰذا مَدِينَة صُور حاصَر ، قَوَّم أَعْمَل لِ هِمَّة عَلَى فَتْح .
فحالاً فزوا الرجال ، لبسوا السلاح وركبوا الجرد القداح * ، وخرجوا من العرضى وهم بعصايب السود .,noun verb noun punc verb noun verb noun noun punc punc verb prep adj pron noun_prop noun punc,حال فَزّ رَجُل ، لَبِس سِلاح رَكَّب جَرْد قَدّاح * ، خَرَج مِن عَرْضِيّ هُم بعصايب أَسْوَد .
فقال ابراهيم : ايه ، يا رجال ، شو * بتقولوا بالهجوم على باب صور حتى نكسره ونفتحها ؟,verb noun_prop punc abbrev punc part_voc noun punc noun_prop punc noun_prop noun prep noun noun_prop prep verb verb punc,قال إِبْراهِيم : إِيه ، يا رَجُل ، شُو * بتقولوا هُجُوم عَلَى باب صُور حَتَّى كَسَر فَتَح ؟
قال له نصير : اشوفك يا وليد الشمطا ¤ ، والله كلنا لك مطيعين .,verb prep verb punc verb part_voc noun_prop noun_prop punc punc noun_prop noun prep adj punc,قال لِ صار : شاف يا وَلِيد الشمطا ¤ ، اللَّه كُلّ لِ مُطِيع .
فكب راسه ابراهيم بقربوص سرجه وهجم قدام الفداويه ، واتبعته الرجال بهمه قويه الى ان قاربوا الباب .,noun noun noun_prop noun_prop noun verb noun noun_prop punc verb noun noun adj prep conj_sub verb noun punc,كَبّ رَأْس إِبْراهِيم بقربوص سَرْج هَجَم قُدّام الفداويه ، ٱِتَّبَع رَجُل هَمّ قَوِيّ إِلَى أَنَّ قارَب باب .
ما سمعوا لا حس ولا انس ، واذا بمفرد ارتما من اعلى الصور وبطريق تدلا عليه .,pron_rel verb part_neg noun part_neg noun_prop punc conj noun noun_prop prep adj noun noun verb prep punc,ما سَمِع لا حِسّ لا أَنَس ، إِذا مُفْرَد ارتما مِن أَعْلَى صُورَة طَرِيق دَلّ عَلَى .
فأرادوا الرجال ان يضربوه بالنشاب ، صرخ عليهم : امسكوا يدكم ، يا رجال ، ما دونها الا محمد السابق ¤ !,verb noun conj_sub verb noun punc verb prep punc verb noun punc part_voc noun punc pron_rel noun part noun_prop adj punc punc,أَراد رَجُل أَنَّ ضَرَب نَشّاب ، صَرَخ عَلَى : أَمْسَك يَد ، يا رَجُل ، ما دُون إِلّا مُحَمَّد سابِق ¤ !
هنالك مسكوا يدهم ، وقالوا له : بشارة خير ، ان شاء الله .,adv verb noun punc verb prep punc noun noun punc conj_sub verb noun_prop punc,هُناكَ مَسَك يَد ، قال لِ : بِشارَة خَيْر ، أَنَّ شاء اللَّه .
كان محمد صار فى الأرض ، فقال لهم : انتم شى هل جمعية ؟,verb noun_prop verb prep noun punc verb prep punc pron noun part_interrog noun punc,كان مُحَمَّد صار فِي أَرْض ، قال لِ : أَنْتُم شَيّ هَل جَمْعِيَّة ؟
